test_id,question,expected_sql,generated_sql,accuracy_metric,table_match,column_match,aggregation_match,execution_success,response_time_ms,error_message
perf_001,What is the average OEE for Furnace 1 in January 2025?,SELECT AVG(oee_percentage) FROM kpi_overall_equipment_efficiency_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',SELECT AVG(oee_percentage) FROM kpi_overall_equipment_efficiency_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',exact_match,True,False,True,True,3291.302442550659,
perf_002,Show furnace health by furnace,"SELECT furnace_no, AVG(oee_percentage) as avg_oee FROM kpi_overall_equipment_efficiency_data GROUP BY furnace_no ORDER BY avg_oee DESC","SELECT furnace_no, oee_percentage 
FROM kpi_overall_equipment_efficiency_data 
WHERE date >= CURRENT_DATE - INTERVAL '30 days' 
ORDER BY date DESC 
LIMIT 100",table_correct,True,False,False,True,3143.956184387207,
perf_003,OEE trend for the last 30 days,"SELECT date, furnace_no, oee_percentage FROM kpi_overall_equipment_efficiency_data WHERE date >= CURRENT_DATE - INTERVAL '30 days' ORDER BY date DESC","SELECT date, oee_percentage FROM kpi_overall_equipment_efficiency_data WHERE date >= CURRENT_DATE - INTERVAL '30 days' ORDER BY date DESC LIMIT 100",semantic_match,True,False,True,True,3192.7292346954346,
yield_001,Show the average yield by furnace,"SELECT furnace_no, AVG(yield_percentage) as avg_yield FROM kpi_yield_data GROUP BY furnace_no ORDER BY avg_yield DESC","SELECT furnace_no, AVG(yield_percentage) as avg_yield FROM kpi_yield_data GROUP BY furnace_no ORDER BY avg_yield DESC",exact_match,True,False,True,True,3292.935371398926,
yield_002,Yield percentage for Furnace 2 in January 2025,SELECT AVG(yield_percentage) FROM kpi_yield_data WHERE furnace_no = 2 AND date BETWEEN '2025-01-01' AND '2025-01-31',SELECT AVG(yield_percentage) FROM kpi_yield_data WHERE furnace_no = 2 AND date BETWEEN '2025-01-01' AND '2025-01-31',exact_match,True,False,True,True,12422.515153884888,
defect_001,Defect rate by furnace,"SELECT furnace_no, AVG(defect_rate) as avg_defect FROM kpi_defect_rate_data GROUP BY furnace_no ORDER BY avg_defect ASC","SELECT furnace_no, AVG(defect_rate) as avg_defect_rate FROM kpi_defect_rate_data GROUP BY furnace_no ORDER BY avg_defect_rate DESC",semantic_match,True,False,True,True,16253.310203552246,
defect_002,What is the defect rate trend for Furnace 1?,"SELECT date, defect_rate FROM kpi_defect_rate_data WHERE furnace_no = 1 ORDER BY date DESC LIMIT 100","SELECT date, defect_rate FROM kpi_defect_rate_data WHERE furnace_no = 1 ORDER BY date DESC LIMIT 100",exact_match,True,False,True,True,16201.651811599731,
down_001,What is the total downtime for Furnace 1 in January 2025?,SELECT SUM(downtime_hours) as total_downtime FROM kpi_downtime_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',SELECT SUM(downtime_hours) FROM kpi_downtime_data WHERE furnace_no = 1 AND date BETWEEN '2025-01-01' AND '2025-01-31',semantic_match,True,False,True,True,16457.881927490234,
down_002,Downtime by furnace last 30 days,"SELECT furnace_no, SUM(downtime_hours) as total FROM kpi_downtime_data WHERE date >= CURRENT_DATE - INTERVAL '30 days' GROUP BY furnace_no ORDER BY total DESC","SELECT furnace_no, SUM(downtime_hours) as total_downtime 
FROM kpi_downtime_data 
WHERE date >= CURRENT_DATE - INTERVAL '30 days' 
GROUP BY furnace_no 
ORDER BY total_downtime DESC",semantic_match,True,False,True,True,16536.871910095215,
down_003,Which furnace has the most downtime?,"SELECT furnace_no, SUM(downtime_hours) as total FROM kpi_downtime_data GROUP BY furnace_no ORDER BY total DESC LIMIT 1","SELECT furnace_no, SUM(downtime_hours) as total_downtime FROM kpi_downtime_data GROUP BY furnace_no ORDER BY total_downtime DESC LIMIT 1",semantic_match,True,False,True,True,16331.22706413269,
